location,date,season,observer,scribe,plot,side,distance,shrub,entry,notes
S,6/23/2023,mj23,Linda,Charisse,2,B,40-50,80.6,CS,
S,6/24/2023,mj23,Sage,Charisse,6,A,0-10,100,GS,
S,6/24/2023,mj23,Sage,Charisse,6,A,10-20,82,GS,
S,6/24/2023,mj23,Sage,Charisse,6,A,20-30,72,GS,
S,6/24/2023,mj23,Sage,Charisse,6,A,30-40,99,GS,
S,6/24/2023,mj23,Sage,Charisse,6,A,40-50,75,GS,
S,6/24/2023,mj23,Sage,Charisse,6,B,0-10,80,GS,
S,6/24/2023,mj23,Sage,Charisse,6,B,10-20,100,GS,
S,6/24/2023,mj23,Sage,Charisse,6,B,20-30,100,GS,
S,6/24/2023,mj23,Sage,Charisse,6,B,30-40,100,GS,
S,6/24/2023,mj23,Sage,Charisse,6,B,40-50,100,GS,
S,2023-06-24,mj23,"Sage, Laurence, Nyobi",Claire,20,A,0-10,72,SN,
S,6/24/2023,mj23,"Sage, Laurence, Nyobi",Claire,20,A,10-20,100,SN,
S,2023-06-24,mj23,"Sage, Laurence, Nyobi",Claire,20,A,20-30,90,SN,
S,6/24/2023,mj23,"Sage, Laurence, Nyobi",Claire,20,A,30-40,68,SN,
S,2023-06-24,mj23,"Sage, Laurence, Nyobi",Claire,20,A,40-50,68,SN,
S,6/24/2023,mj23,"Sage, Laurence, Nyobi",Claire,20,B,0-10,58,SN,
S,2023-06-24,mj23,"Sage, Laurence, Nyobi",Claire,20,B,10-20,100,SN,
S,6/24/2023,mj23,"Sage, Laurence, Nyobi",Claire,20,B,20-30,100,SN,
S,2023-06-24,mj23,"Sage, Laurence, Nyobi",Claire,20,B,30-40,70,SN,
S,6/24/2023,mj23,"Sage, Laurence, Nyobi",Claire,20,B,40-50,100,SN,
S,2023-06-24,mj23,"Curtis, Amy, Gugu, Phum, Monica, Alfredo",Abbey,7,A,0-10,99,SN,
S,6/24/2023,mj23,"Curtis, Amy, Gugu, Phum, Monica, Alfredo",Abbey,7,A,10-20,95,SN,
S,2023-06-24,mj23,"Curtis, Amy, Gugu, Phum, Monica, Alfredo",Abbey,7,A,20-30,100,SN,
S,6/24/2023,mj23,"Curtis, Amy, Gugu, Phum, Monica, Alfredo",Abbey,7,A,30-40,99,SN,
S,2023-06-24,mj23,"Curtis, Amy, Gugu, Phum, Monica, Alfredo",Abbey,7,A,40-50,96,SN,
S,6/24/2023,mj23,"Curtis, Amy, Gugu, Phum, Monica, Alfredo",Abbey,7,B,0-10,95,SN,
S,2023-06-24,mj23,"Curtis, Amy, Gugu, Phum, Monica, Alfredo",Abbey,7,B,10-20,98,SN,
S,6/24/2023,mj23,"Curtis, Amy, Gugu, Phum, Monica, Alfredo",Abbey,7,B,20-30,91,SN,
S,2023-06-24,mj23,"Curtis, Amy, Gugu, Phum, Monica, Alfredo",Abbey,7,B,30-40,83,SN,
S,6/24/2023,mj23,"Curtis, Amy, Gugu, Phum, Monica, Alfredo",Abbey,7,B,40-50,82,SN,
S,6/22/2023,mj23,Linda,Charisse,3,A,0-10,63,CS,
S,6/22/2023,mj23,Linda,Charisse,3,A,10-20,16.5,CS,
S,6/22/2023,mj23,Linda,Charisse,3,A,20-30,10,CS,
S,6/22/2023,mj23,Linda,Charisse,3,A,30-40,36,CS,
S,6/22/2023,mj23,Linda,Charisse,3,A,40-50,42,CS,
S,6/22/2023,mj23,Linda,Charisse,3,B,0-10,9.5,CS,
S,6/22/2023,mj23,Linda,Charisse,3,B,10-20,10,CS,
S,6/22/2023,mj23,Linda,Charisse,3,B,20-30,9.5,CS,
S,6/22/2023,mj23,Linda,Charisse,3,B,30-40,8,CS,
S,6/22/2023,mj23,Linda,Charisse,3,B,40-50,10,CS,
S,6/23/2023,mj23,Phum,Abbey,19,A,0-10,100,CA,
S,6/23/2023,mj23,Phum,Abbey,19,A,10-20,90,CA,
S,6/23/2023,mj23,Phum,Abbey,19,A,20-30,85,CA,
S,6/23/2023,mj23,Phum,Abbey,19,A,30-40,95,CA,
S,6/23/2023,mj23,Phum,Abbey,19,A,40-50,100,CA,
S,6/23/2023,mj23,Phum,Abbey,19,B,0-10,100,CA,
S,6/23/2023,mj23,Phum,Abbey,19,B,10-20,97,CA,
S,6/23/2023,mj23,Phum,Abbey,19,B,20-30,100,CA,
S,6/23/2023,mj23,Phum,Abbey,19,B,30-40,85,CA,
S,6/23/2023,mj23,Phum,Abbey,19,B,40-50,98,CA,
S,6/25/2023,mj23,"Amy, Laurence, Sandra, Ncobe, Claire, Lynda, Curtis",Abbey,14,A,0-10,25,AC,
S,6/25/2023,mj23,"Amy, Laurence, Sandra, Ncobe, Claire, Lynda, Curtis",Abbey,14,A,10-20,100,AC,
S,6/25/2023,mj23,"Amy, Laurence, Sandra, Ncobe, Claire, Lynda, Curtis",Abbey,14,A,20-30,68,AC,
S,6/25/2023,mj23,"Amy, Laurence, Sandra, Ncobe, Claire, Lynda, Curtis",Abbey,14,A,30-40,53,AC,
S,6/25/2023,mj23,"Amy, Laurence, Sandra, Ncobe, Claire, Lynda, Curtis",Abbey,14,A,40-50,20,AC,
S,6/25/2023,mj23,"Amy, Laurence, Sandra, Ncobe, Claire, Lynda, Curtis",Abbey,14,B,0-10,100,AC,
S,6/25/2023,mj23,"Amy, Laurence, Sandra, Ncobe, Claire, Lynda, Curtis",Abbey,14,B,10-20,50,AC,
S,6/25/2023,mj23,"Amy, Laurence, Sandra, Ncobe, Claire, Lynda, Curtis",Abbey,14,B,20-30,100,AC,
S,6/25/2023,mj23,"Amy, Laurence, Sandra, Ncobe, Claire, Lynda, Curtis",Abbey,14,B,30-40,64,AC,
S,6/25/2023,mj23,"Amy, Laurence, Sandra, Ncobe, Claire, Lynda, Curtis",Abbey,14,B,40-50,100,AC,
S,6/25/2023,mj23,Linda,Logan,9,A,0-10,84,LD,
S,6/25/2023,mj23,Linda,Logan,9,A,10-20,96,LD,
S,6/25/2023,mj23,Linda,Logan,9,A,20-30,96,LD,
S,6/25/2023,mj23,Linda,Logan,9,A,30-40,95,LD,
S,6/25/2023,mj23,Linda,Logan,9,A,40-50,98,LD,
S,6/25/2023,mj23,Linda,Logan,9,B,0-10,95,LD,
S,6/25/2023,mj23,Linda,Logan,9,B,10-20,100,LD,
S,6/25/2023,mj23,Linda,Logan,9,B,20-30,99,LD,
S,6/25/2023,mj23,Linda,Logan,9,B,30-40,77,LD,
S,6/25/2023,mj23,Linda,Logan,9,B,40-50,82,LD,
